State	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Alabama	15	35	25	34	33	42	42	30	23	33	51
Alaska 	7	11	8	14	12	4	9	14	9	16	40
Arizona	98	103	163	162	112	110	147	139	95	136	176
Arkansas 	25	42	27	29	24	25	29	25	34	38	51
California 	365	516	478	463	466	516	614	558	512	535	636
Colorodo 	63	75	82	68	79	79	89	77	56	97	102
Connecticut 	17	29	32	20	24	49	50	59	55	66	138
Delaware 	7	4	6	9	8	11	9	8	9	11	27
Florida 	129	169	165	209	177	224	258	212	189	282	377
Georgia 	36	55	58	66	66	93	90	76	61	75	109
Hawaii 	8	6	12	10	9	12	12	15	20	14	25
Idaho 	14	25	16	30	25	15	18	23	28	40	50
Illinois 	74	78	187	176	116	160	143	123	180	200	250
Indiana 	37	69	91	72	47	68	110	71	85	79	118
Iowa 	19	30	34	38	24	43	29	36	42	40	80
Kansas 	22	21	30	40	37	39	26	33	47	40	49
Kentucky 	25	33	34	55	41	45	63	50	48	70	55
Louisiana 	22	27	36	24	21	21	40	52	26	28	37
Maine 	21	31	15	19	19	21	22	34	25	34	84
Maryland	42	31	37	34	29	39	52	40	42	62	94
Massachusetts	42	53	57	52	54	57	64	65	92	84	130
Michigan	65	70	67	73	83	117	116	101	94	131	192
Minnesota	22	33	62	61	51	47	49	53	50	72	125
Mississippi	10	13	19	16	17	20	19	21	16	19	34
Missouri 	43	52	71	66	66	95	88	75	93	124	149
Montana	18	14	24	25	18	17	17	27	25	37	67
Nebraska	15	21	31	11	20	24	16	21	34	25	41
Nevada 	38	31	37	44	35	46	58	41	38	43	71
New Hampshire	20	20	14	36	11	24	30	24	21	29	71
New Jersey 	42	60	60	62	57	52	76	91	69	64	123
New Mexico 	30	33	31	27	50	40	50	45	27	25	60
New York 	116	137	156	138	108	146	181	164	149	210	330
North Carolina	49	68	71	90	65	98	116	104	112	160	213
North Dakota	4	8	8	3	7	6	9	8	5	8	9
Ohio 	79	95	111	74	80	97	117	111	112	135	235
Oklahoma 	23	39	29	37	28	32	47	37	31	44	85
Oregon 	79	75	77	95	72	100	80	71	73	99	154
Pennsylvania 	108	75	117	82	113	126	159	146	141	157	259
Rhode Island 	5	5	11	11	11	10	15	16	10	13	35
South Carolina 	22	55	43	42	29	69	37	58	54	102	163
South Dakota 	8	6	8	7	4	10	6	13	14	14	24
Tennessee 	37	44	73	40	52	54	82	61	54	86	111
Texas 	149	158	165	187	187	179	328	220	200	222	223
Utah 	34	35	17	21	18	26	24	28	33	44	79
Vermont 	9	5	6	9	4	15	7	18	13	20	50
Virginia 	50	59	41	60	46	57	83	75	68	87	122
Washington 	186	213	206	168	148	194	172	197	238	261	366
West Virginia 	15	15	21	21	14	24	25	26	14	22	58
Wisconsin 	42	56	44	57	33	49	59	52	51	100	139
Wyoming 	15	5	5	9	7	7	8	5	11	17	11
